7369,SMITH,CLERK,7902,2018-09-19,800,,20
7499,ALLEN,SALESMAN,7698,2018-09-19,1600,300,30
7521,WARD,SALESMAN,7698,2018-09-19,1250,500,30
7566,JONES,MANAGER,7839,2018-09-19,2975,,20
7654,MARTIN,SALESMAN,7698,2018-09-19,1250,1400,30
7698,BLAKE,MANAGER,7839,2018-09-19,2850,,30
7782,CLARK,MANAGER,7839,2018-09-19,2450,,10
7788,SCOTT,ANALYST,7566,2018-09-19,3000,,20
7839,KING,PRESIDENT,,2018-09-19,5000,,10
7844,TURNER,SALESMAN,7698,2018-09-19,1500,0,30
7876,ADAMS,CLERK,7788,2018-09-19,1100,,20
7900,JAMES,CLERK,7698,2018-09-19,950,,30
7902,FORD,ANALYST,7566,2018-09-19,3000,,20
7934,MILLER,CLERK,7782,2018-09-19,1300,,10
